plad_id,leader,country,startyear,endyear,adm1,adm0,foreign_leader,geo_precision,latitude,longitude
AFG_1986_1,Najibullah,Afghanistan,1986,1992,Paktya,Afghanistan,0,1,33.601341247558594,69.24159240722656
AFG_1992_1,Mojadidi,Afghanistan,1992,1992,Kabul,Afghanistan,0,1,34.52812957763672,69.17233276367188
AFG_1992_2,Burhanuddin Rabbani,Afghanistan,1992,1996,Badakhshan,Afghanistan,0,4,36.734771728515625,70.81199645996094
AFG_1996_1,Mullah Omar,Afghanistan,1996,2001,Kandahar,Afghanistan,0,3,32.01074981689453,65.50334930419922
AFG_2001_1,Hamid Karzai,Afghanistan,2001,2014,Kandahar,Afghanistan,0,1,31.571779251098633,65.72946166992188
AFG_2014_1,Ashraf Ghani Ahmadzai,Afghanistan,2014,2021,Kabul,Afghanistan,0,1,34.35396957397461,69.40878295898438
AFG_2021_1,Hibatullah Akhundzada,Afghanistan,2021,2023,Kandahar,Afghanistan,0,1,31.5,65.43000030517578
ALB_1985_1,Alia,Albania,1985,1992,Shkodër,Albania,0,1,42.06827926635742,19.51258087158203
ALB_1992_1,Berisha,Albania,1992,1997,Kukës,Albania,0,1,42.38694381713867,20.175832748413086
ALB_1997_1,Fatos Nano,Albania,1997,1998,Tiranë,Albania,0,1,41.32749938964844,19.818889617919922
ALB_1998_1,Majko,Albania,1998,1999,Tiranë,Albania,0,1,41.32749938964844,19.818889617919922
ALB_1999_1,Meta,Albania,1999,2002,Berat,Albania,0,1,40.50416946411133,20.22722053527832
ALB_2002_1,Majko,Albania,2002,2002,Tiranë,Albania,0,1,41.32749938964844,19.818889617919922
ALB_2002_2,Fatos Nano,Albania,2002,2005,Tiranë,Albania,0,1,41.32749938964844,19.818889617919922
ALB_2005_1,Berisha,Albania,2005,2013,Kukës,Albania,0,1,42.38694381713867,20.175832748413086
ALB_2013_1,Rama,Albania,2013,2023,Tiranë,Albania,0,1,41.32749938964844,19.818889617919922
ALG_1979_1,Benjedid,Algeria,1979,1992,El Tarf,Algeria,0,1,36.78697967529297,8.197669982910156
ALG_1992_1,Boudiaf,Algeria,1992,1992,M'Sila,Algeria,0,1,35.70000076293945,4.550000190734863
