ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,year,mean,sensor
105,Guinea-Bissau,1386,Biombo,2008,0.12024052518342798,DMSP
105,Guinea-Bissau,1392,Sector Autonomo De Bissau,2008,5.692694100626906,DMSP
155,Mali,1927,Gao,2008,0.008573888424468329,DMSP
155,Mali,1929,Kidal,2008,0.0036306432498510806,DMSP
23,Bangladesh,575,Barisal,2008,0.47269034285731587,DMSP
23,Bangladesh,578,Khulna,2008,1.3752136157837993,DMSP
141,Lebanon,1802,Nabatiye,2008,16.580566772958406,DMSP
141,Lebanon,1800,South,2008,23.156389946518523,DMSP
79,Ethiopia,1227,Addis Ababa,2008,28.343829614141246,DMSP
79,Ethiopia,1228,Afar,2008,0.024151908078414448,DMSP
79,Ethiopia,1229,Amhara,2008,0.028683989522813595,DMSP
79,Ethiopia,1230,Beneshangul Gumu,2008,0.036268477428284006,DMSP
79,Ethiopia,1232,Gambela,2008,0.008847362130891014,DMSP
79,Ethiopia,1233,Hareri,2008,2.6494264199477255,DMSP
79,Ethiopia,47678,Oromia,2008,0.05160445457724021,DMSP
79,Ethiopia,1236,SNNPR,2008,0.042950846388411096,DMSP
79,Ethiopia,1237,Tigray,2008,0.11429384677165248,DMSP
74,South Sudan,2746,El Buheyrat,2008,0.004209358737138185,DMSP
74,South Sudan,2747,Unity,2008,0.0480520213373988,DMSP
74,South Sudan,2748,Central Equatoria,2008,0.03168342359227475,DMSP
74,South Sudan,2750,Eastern Equatoria,2008,0.0010909832891418366,DMSP
74,South Sudan,2751,Jonglei,2008,0.005083664489099378,DMSP
74,South Sudan,2754,Northern Bahr El Ghazal,2008,0.0091745760974684,DMSP
74,South Sudan,2765,Warab,2008,0.008375856778035666,DMSP
74,South Sudan,2766,Western Bahr El Ghazal,2008,0.009464509716539882,DMSP
74,South Sudan,2768,Western Equatoria,2008,0.0023330734986139255,DMSP
74,South Sudan,37021,Upper Nile,2008,0.036965755532800355,DMSP
227,South Africa,2708,Gauteng,2008,21.209313650303088,DMSP
227,South Africa,2714,Western Cape,2008,1.27937615474872,DMSP
167,Mongolia,2082,Dornogovi,2008,0.013262839679840207,DMSP
106,Guinea,40706,Mamou,2008,0.010308141493349458,DMSP
106,Guinea,40705,Labe,2008,0.00931194607658128,DMSP
271,Zimbabwe,3435,Bulawayo,2008,16.529490691119847,DMSP
271,Zimbabwe,3436,Harare,2008,23.00910843142603,DMSP
271,Zimbabwe,69549,Matabeleland North,2008,0.04766352691637346,DMSP
271,Zimbabwe,69550,Mashonaland East,2008,0.14693929584638749,DMSP
68,Democratic Republic of the Congo,1073,Maniema,2008,0.004006309764539831,DMSP
68,Democratic Republic of the Congo,1074,Nord-Kivu,2008,0.04678519254658383,DMSP
68,Democratic Republic of the Congo,1076,Sud-Kivu,2008,0.016416154849892624,DMSP
23,Bangladesh,576,Chittagong,2008,1.6623582956843,DMSP
23,Bangladesh,580,Sylhet,2008,1.802535763227791,DMSP
79,Ethiopia,1231,Dire Dawa,2008,1.8008417704898894,DMSP
79,Ethiopia,47679,Somali,2008,0.005696438418088479,DMSP
138,Kyrgyzstan,1746,Batken,2008,0.3304893749642744,DMSP
138,Kyrgyzstan,1750,Osh,2008,0.6858601352618882,DMSP
138,Kyrgyzstan,147294,Chuy,2008,1.8545243560698788,DMSP
